Unnamed: 0,STATION,NAME,DATE,TMAX,TMIN,TAVG
0,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-01,43.0,32.0,37.5
1,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-02,43.0,20.0,31.5
2,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-03,29.0,10.0,19.5
3,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-04,30.0,9.0,19.5
4,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-05,24.0,15.0,19.5
5,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-06,47.0,17.0,32.0
6,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-07,49.0,29.0,39.0
7,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-08,51.0,30.0,40.5
8,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-09,52.0,32.0,42.0
9,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-10,44.0,32.0,38.0
10,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-11,65.0,32.0,48.5
11,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-12,69.0,42.0,55.5
12,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-13,42.0,37.0,39.5
13,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-14,52.0,38.0,45.0
14,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-15,40.0,27.0,33.5
15,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-16,32.0,22.0,27.0
16,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-17,31.0,28.0,29.5
17,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-18,28.0,15.0,21.5
18,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-19,25.0,13.0,19.0
19,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-20,26.0,10.0,18.0
20,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-21,20.0,9.0,14.5
21,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-22,16.0,2.0,9.0
22,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-23,21.0,3.0,12.0
23,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-24,32.0,9.0,20.5
24,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-25,45.0,31.0,38.0
25,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-26,48.0,33.0,40.5
26,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-27,38.0,27.0,32.5
27,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-28,35.0,31.0,33.0
28,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-29,31.0,21.0,26.0
29,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1960-01-30,47.0,23.0,35.0
