Unnamed: 0,STATION,NAME,DATE,TAVG,TMAX,TMIN
0,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-01,42.5,48.0,37.0
1,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-02,38.5,47.0,30.0
2,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-03,40.0,50.0,30.0
3,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-04,40.5,52.0,29.0
4,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-05,40.0,50.0,30.0
5,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-06,41.0,52.0,30.0
6,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-07,44.5,57.0,32.0
7,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-08,51.0,65.0,37.0
8,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-09,53.5,67.0,40.0
9,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-10,51.0,59.0,43.0
10,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-11,53.0,56.0,50.0
11,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-12,52.0,60.0,44.0
12,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-13,45.0,50.0,40.0
13,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-14,44.0,52.0,36.0
14,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-15,43.5,51.0,36.0
15,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-16,45.0,51.0,39.0
16,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-17,38.5,47.0,30.0
17,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-18,41.0,51.0,31.0
18,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-19,46.5,58.0,35.0
19,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-20,47.5,61.0,34.0
20,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-21,49.5,63.0,36.0
21,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-22,51.0,64.0,38.0
22,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-23,52.5,66.0,39.0
23,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-24,56.0,69.0,43.0
24,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-25,55.5,68.0,43.0
25,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-26,58.5,67.0,50.0
26,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-27,56.0,65.0,47.0
27,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-28,54.0,68.0,40.0
28,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-29,60.5,74.0,47.0
29,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-30,57.0,69.0,45.0
30,USW00023183,"PHOENIX AIRPORT, AZ US",1960-01-31,53.0,65.0,41.0
31,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-01,53.0,66.0,40.0
32,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-02,57.0,66.0,48.0
33,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-03,50.5,62.0,39.0
34,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-04,51.0,64.0,38.0
35,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-05,50.5,63.0,38.0
36,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-06,53.5,67.0,40.0
37,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-07,56.0,70.0,42.0
38,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-08,56.5,70.0,43.0
39,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-09,57.0,64.0,50.0
40,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-10,48.0,56.0,40.0
41,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-11,50.0,63.0,37.0
42,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-12,52.5,66.0,39.0
43,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-13,49.5,61.0,38.0
44,USW00023183,"PHOENIX AIRPORT, AZ US",1960-02-14,50.0,65.0,35.0
